XB_ALIAS;XB_TIPO;XB_SEQ;XB_COLUNA;XB_DESCRI;XB_DESCSPA;XB_DESCENG;XB_CONTEM;XB_WCONTEM
SAEU0C;1;01;DB;Adm. Fin. Prc. Neg.;Adm. Fin. Prc. Neg.;Adm. Fin. Prc. Neg.;SAE;
SAEU0C;2;01;01;Cod Adm;Administrad.;C.card Code;;
SAEU0C;2;02;02;Cod. Cliente;Cliente;Customer;;
SAEU0C;4;01;01;Cod Adm;Administrad.;C.Card Code;AE_COD;
SAEU0C;4;01;02;Nome Adm;Cliente;Admnist.Name;AE_DESC;
SAEU0C;4;02;01;Cod Adm;Administrad.;C.Card Code;AE_COD;
SAEU0C;4;02;02;Nome Adm;Nombre Adm.;Admnist.Name;AE_DESC;
SAEU0C;5;01;;;;;SAE->AE_COD;
SAEU0C;6;01;;;;;PADR(SAE->AE_TIPO,3) = PADR(IF(ValType(M->U0C_FORPAG)=='C',M->U0C_FORPAG,GdFieldGet('U0C_FORPAG')),3);
U44U25;1;01;DB;Condicao Pagamento;Condicao Pagamento;Condicao Pagamento;U44;
U44U25;2;01;01;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;;
U44U25;4;01;01;Cond Pgto;Cond Pgto;Cond Pgto;U44_CONDPG;
U44U25;4;01;02;Descricao;Descricao;Descricao;RetField('SE4',1,xFilial('SE4')+U44->U44_CONDPG,'E4_DESCRI');
U44U25;5;01;;;;;U44->U44_CONDPG;
U44U25;6;01;;;;;U_TRET023F();
SAEU25;1;01;DB;Adm. Fin. Prc. Neg.;Adm. Fin. Prc. Neg.;Adm. Fin. Prc. Neg.;SAE;
SAEU25;2;01;01;Cod Adm;Administrad.;C.card Code;;
SAEU25;2;02;02;Cod. Cliente;Cliente;Customer;;
SAEU25;4;01;01;Cod Adm;Administrad.;C.Card Code;AE_COD;
SAEU25;4;01;02;Nome Adm;Cliente;Admnist.Name;AE_DESC;
SAEU25;4;02;01;Cod Adm;Administrad.;C.Card Code;AE_COD;
SAEU25;4;02;02;Nome Adm;Nombre Adm.;Admnist.Name;AE_DESC;
SAEU25;5;01;;;;;SAE->AE_COD;
SAEU25;6;01;;;;;PADR(SAE->AE_TIPO,3) = PADR(IF(ValType(M->U25_FORPAG)=='C',M->U25_FORPAG,GdFieldGet('U25_FORPAG')),3);
U44ES;1;01;DB;Cond. de Pagamento;Cond. de Pagamento;Cond. de Pagamento;U44;
U44ES;2;01;01;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;;
U44ES;4;01;01;Cond Pgto;Cond Pgto;Cond Pgto;U44_CONDPG;
U44ES;4;01;02;Descricao;Descricao;Descricao;RetField('SE4',1,xFilial('SE4')+U44->U44_CONDPG,'E4_DESCRI');
U44ES;5;01;;;;;U44->U44_CONDPG;
U44ES;6;01;;;;;U_TRET022B();
U56FIL;1;01;RE;Filiais do Sistema;Filiais do Sistema;Filiais do Sistema;U56;
U56FIL;2;01;01;;;;U_TRETE021();
U56FIL;5;01;;;;;U_TRETE21A();
XSA6;1;01;DB;BANCO;BANCO;BANCO;SA6;
XSA6;2;01;01;Codigo + Nro Agencia;Codigo + Nro Agencia;Code + Branch Nmb +;;
XSA6;2;02;02;Nome Banco;Nombre Banco;Bank Name;;
XSA6;4;01;01;Nro Conta;Nro Cuenta;Account Nmb;A6_NUMCON;
XSA6;4;01;02;Nome Banco;Nombre Banco;Bank Name;A6_NOME;
XSA6;4;01;03;Codigo;Codigo;Code;A6_COD;
XSA6;4;01;04;Nro Agencia;Nro Agencia;Branch Nmb;A6_AGENCIA;
XSA6;4;02;01;Nro Conta;Nro Cuenta;Account Nmb;A6_NUMCON;
XSA6;4;02;02;Nome Banco;Nombre Banco;Bank Name;A6_NOME;
XSA6;4;02;03;Codigo;Codigo;Code;A6_COD;
XSA6;4;02;04;Nro Agencia;Nro Agencia;Branch Nmb;A6_AGENCIA;
XSA6;5;01;;;;;SA6->A6_COD;
XSA6;5;02;;;;;SA6->A6_AGENCIA;
XSA6;5;03;;;;;SA6->A6_NUMCON;
XSA6;6;01;;;;;SA6->A6_NUMCON <> '.' .and. SA6->A6_BLOCKED <> '1';
U59LOC;1;01;RE;Locais de origem;Locais de origem;Locais de origem;NNR;
U59LOC;2;01;01;;;;U_U59LOC();
U59LOC;5;01;;;;;__cLocOri;
U0F;1;01;DB;Motivo de Devolução;Motivo de Devolução;Motivo de Devolução;U0F;
U0F;2;01;01;Codigo;Codigo;Codigo;;
U0F;4;01;01;Codigo;Codigo;Codigo;U0F_CODIGO;
U0F;4;01;03;Descricao;Descricao;Descricao;U0F_DESCRI;
U0F;5;01;;;;;U0F->U0F_CODIGO;
SA1CHQ;1;01;DB;Emissor de Cheques;Emissor de Cheques;Emissor de Cheques;SA1;
SA1CHQ;2;01;02;Nome + Loja;Nombre + Tienda;Name + Unit;;
SA1CHQ;2;02;01;Codigo + Loja;Codigo + Tienda;Code + Unit;;
SA1CHQ;2;03;03;Cnpj/Cpf;Cnpj/Cpf;Cnpj/Cpf;;
SA1CHQ;4;01;01;Codigo;Codigo;Code;A1_COD;
SA1CHQ;4;01;02;Loja;Tienda;Unit;A1_LOJA;
SA1CHQ;4;01;03;Nome;Nombre;Name;A1_NOME;
SA1CHQ;4;01;04;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;A1_CGC;
SA1CHQ;4;02;01;Codigo;Codigo;Code;A1_COD;
SA1CHQ;4;02;02;Loja;Tienda;Unit;A1_LOJA;
SA1CHQ;4;02;03;Nome;Nombre;Name;A1_NOME;
SA1CHQ;4;02;04;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;A1_CGC;
SA1CHQ;4;03;01;Codigo;Codigo;Code;A1_COD;
SA1CHQ;4;03;02;Loja;Tienda;Unit;A1_LOJA;
SA1CHQ;4;03;03;Nome;Nombre;Name;A1_NOME;
SA1CHQ;4;03;04;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;A1_CGC;
SA1CHQ;5;01;;;;;SA1->A1_COD;
SA1CHQ;5;02;;;;;SA1->A1_LOJA;
SA1CHQ;6;01;;;;;SA1->A1_XEMCHQ == 'S';
ZE02;1;01;DB;Tanque CRC;Tanque CRC;Tanque CRC;ZE0;
ZE02;2;01;01;Nr Tanque;Nr Tanque;Nr Tanque;;
ZE02;4;01;01;Nr Tanque;Nr Tanque;Nr Tanque;ZE0_TANQUE;
ZE02;4;01;02;Descricao;Descricao;Descricao;ZE0_DESCR;
ZE02;5;01;;;;;ZE0->ZE0_TANQUE;
ZE02;6;01;;;;;U_LOCTQZE4();
ZE6;1;01;DB;CAPAC VOLUMETRICA;.;.;ZE6;
ZE6;2;01;01;Cod. Tabela;Cod. Tabela;Cod. Tabela;;
ZE6;4;01;01;Filial;Sucursal;Branch;ZE6_FILIAL;
ZE6;4;01;02;Cod. Tabela;Cod. Tabela;Cod. Tabela;ZE6_TABELA;
ZE6;4;01;03;Descricao;Descricao;Descricao;ZE6_DESCRI;
ZE6;5;01;;;;;ZE6->ZE6_TABELA;
UH8;1;01;DB;Fornecedores Servico;Fornecedores Servico;Fornecedores Servico;UH8;
UH8;2;01;01;Fornecedor+loja;Fornecedor+loja;Fornecedor+loja;;
UH8;4;01;01;Fornecedor;Fornecedor;Fornecedor;UH8_FORNEC;
UH8;4;01;02;Loja;Loja;Loja;UH8_LOJA;
UH8;4;01;03;Nome;Nome;Nome;UH8_NOME;
UH8;5;01;;;;;UH8->UH8_FORNEC;
UH8;5;02;;;;;UH8->UH8_LOJA;
UH9;1;01;DB;Produto x Fornecedor;.;.;UH9;
UH9;2;01;01;Fornecedor+loja+prod;Fornecedor+loja+prod;Fornecedor+loja+prod;;
UH9;4;01;01;Produto;Produto;Produto;UH9_PRODUT;
UH9;4;01;02;Descricao;Descricao;Descricao;UH9_DESCRI;
UH9;4;01;03;Preco unit.;Preco unit.;Preco unit.;UH9_PRCUNI;
UH9;5;01;;;;;UH9->UH9_PRODUT;
UH9;5;02;;;;;UH9->UH9_DESCRI;
UH9;6;01;;;;;AllTrim(UH9->UH9_FORNEC) == @#AllTrim(_cFornecVl) .And. AllTrim(UH9->UH9_LOJA) == AllTrim(_cLojaVl);
SB1PDV;1;01;RE;Consulta Produtos;Consulta Produtos;Consulta Produtos;SB1;
SB1PDV;2;01;01;;;;U_TPDVE003();
SB1PDV;5;01;;;;;&(ReadVar());
SA1CGC;1;01;DB;CNPJ CLIENTE;CNPJ CLIENTE;CNPJ CLIENTE;SA1;
SA1CGC;2;01;02;Nome + Loja;Nombre + Tienda;Name + Unit;;
SA1CGC;2;02;01;Codigo + Loja;Codigo + Tienda;Code + Unit;;
SA1CGC;2;03;03;Cnpj/Cpf;Cnpj/Cpf;Cnpj/Cpf;;
SA1CGC;4;01;01;Codigo;Codigo;Code;A1_COD;
SA1CGC;4;01;02;Loja;Tienda;Unit;A1_LOJA;
SA1CGC;4;01;03;Nome;Nombre;Name;A1_NOME;
SA1CGC;4;01;04;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;A1_CGC;
SA1CGC;4;02;01;Codigo;Codigo;Code;A1_COD;
SA1CGC;4;02;02;Loja;Tienda;Unit;A1_LOJA;
SA1CGC;4;02;03;Nome;Nombre;Name;A1_NOME;
SA1CGC;4;02;04;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;A1_CGC;
SA1CGC;4;03;01;Codigo;Codigo;Code;A1_COD;
SA1CGC;4;03;02;Loja;Tienda;Unit;A1_LOJA;
SA1CGC;4;03;03;Nome;Nombre;Name;A1_NOME;
SA1CGC;4;03;04;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;A1_CGC;
SA1CGC;5;01;;;;;SA1->A1_CGC;
SA1PDV;1;01;RE;Consulta de Clientes;;;SA1;
SA1PDV;2;01;01;;;;U_TPDVE002();
SA1PDV;5;01;;;;;&(ReadVar());
SBMMRK;1;01;RE;Grupo Prod. MultiSel;Grupo Prod. MultiSel;Grupo Prod. MultiSel;SBM;
SBMMRK;2;01;01;;;;.T.;
SBMMRK;5;01;;;;;U_UMultSel('Grupos de Produto','SBM','BM_GRUPO,BM_DESC','BM_DESC',,&(ReadVar()));
ACYMRK;1;01;RE;Grupo Cli. MultiSel;Grupo Cli. MultiSel;Grupo Cli. MultiSel;ACY;
ACYMRK;2;01;01;;;;.T.;
ACYMRK;5;01;;;;;U_UMultSel('Grupos de Cliente','ACY','ACY_GRPVEN,ACY_DESCRI','ACY_DESCRI',,&(ReadVar()));
24MARK;1;01;RE;Formas Pg. MultiSel;Formas Pg. MultiSel;Formas Pg. MultiSel;SX5;
24MARK;2;01;01;;;;.T.;
24MARK;5;01;;;;;U_UMultSel('Formas Pagamento','SX5','X5_CHAVE,X5_DESCRI','X5_CHAVE',"X5_TABELA = '24'",&(ReadVar()));
SE4MRK;1;01;RE;Cond Pg. MultiSel;Cond Pg. MultiSel;Cond Pg. MultiSel;SE4;
SE4MRK;2;01;01;;;;.T.;
SE4MRK;5;01;;;;;U_UMultSel('Condicoes Pagamento','SE4','E4_CODIGO,E4_DESCRI','E4_DESCRI',,&(ReadVar()));
ZVMARK;1;01;RE;Tabela de Risco MultiSel;Tabela de Risco MultiSel;Tabela de Risco MultiSel;SX5;
ZVMARK;2;01;01;;;;.T.;
ZVMARK;5;01;;;;;U_UMultSel('Tabela de Risco Cliente','SX5','X5_CHAVE,X5_DESCRI','X5_CHAVE',"X5_TABELA = 'ZV'",&(ReadVar()));
SAEMRK;1;01;RE;Adm Financeira MultiSel;Adm Financeira MultiSel;Adm Financeira MultiSel;SE4;
SAEMRK;2;01;01;;;;.T.;
SAEMRK;5;01;;;;;U_UMultSel('Adm Financeira','SAE','AE_COD,AE_DESC,AE_TIPO','AE_COD',,&(ReadVar()));
UF6;1;01;DB;CLASSE CLIENTE;CLASSE CLIENTE;CLASSE CLIENTE;UF6;
UF6;2;01;01;Codigo;Codigo;Codigo;;
UF6;2;02;02;Descricao;Descricao;Descricao;;
UF6;3;01;01;Cadastra Novo;Incluye Nuevo;Add New;01;
UF6;4;01;01;Codigo;Codigo;Codigo;UF6_FILIAL;
UF6;4;01;02;Descricao;Descricao;Descricao;UF6_CODIGO;
UF6;4;01;03;Descricao;Descricao;Descricao;UF6_DESC;
UF6;4;02;01;Descricao;Descricao;Descricao;UF6_FILIAL;
UF6;4;02;02;Codigo;Codigo;Codigo;UF6_DESC;
UF6;4;02;03;Codigo;Codigo;Codigo;UF6_CODIGO;
UF6;5;01;;;;;UF6->UF6_CODIGO;
UF6MRK;1;01;RE;Classe Cli MultSel;Classe Cli MultSel;Classe Cli MultSel;SX5;
UF6MRK;2;01;01;;;;.T.;
UF6MRK;5;01;;;;;U_UMultSel('Classe de Cliente','UF6','UF6_CODIGO,UF6_DESC','UF6_DESC',,&(ReadVar()));
T3MARK;1;01;RE;Segmentos MultiSel;Segmentos MultiSel;Segmentos MultiSel;SX5;
T3MARK;2;01;01;;;;.T.;
T3MARK;5;01;;;;;U_UMultSel('Segmento Clientes','SX5','X5_CHAVE,X5_DESCRI','X5_CHAVE',"X5_TABELA = 'T3'",&(ReadVar()));
SC7CRC;1;01;DB;PEDIDOS COM CRC;PEDIDOS COM CRC;PEDIDOS COM CRC;SC7;
SC7CRC;2;01;01;Numero Pc + Item + S;Nr.pedcompra + Item;Po Number + Item + S;;
SC7CRC;4;01;01;Filial;Filial;Filial;C7_FILIAL;
SC7CRC;4;01;02;Produto;Produto;Produto;C7_PRODUTO;
SC7CRC;4;01;03;Descricao;Descricao;Descricao;C7_DESCRI;
SC7CRC;4;01;04;Numero PC;Numero PC;Numero PC;C7_NUM;
SC7CRC;4;01;05;Item;Item;Item;C7_ITEM;
SC7CRC;4;01;06;Nr. CRC;Nr. CRC;Nr. CRC;C7_XCRC;
SC7CRC;5;01;;;;;SC7->C7_NUM;
SC7CRC;5;02;;;;;SC7->C7_ITEM;
SC7CRC;5;03;;;;;SC7->C7_PRODUTO;
SC7CRC;5;04;;;;;POSICIONE('SB1',1,XFILIAL('SB1')+SC7->C7_PRODUTO,'B1_DESC');
SC7CRC;6;01;;;;;SC7->C7_QUJE<SC7->C7_QUANT.AND.Empty(SC7->C7_XCRC);
U00;1;01;DB;Manutencao Bomba;Manutencao Bomba;Manutencao Bomba;U00;
U00;2;01;01;Intervencao;Intervencao;Intervencao;;
U00;4;01;01;Codigo;Codigo;Codigo;U00_NUMSEQ;
U00;4;01;02;Bomba;Bomba;Bomba;U00_BOMBA;
U00;4;01;03;Dt intervenc;Dt intervenc;Dt intervenc;U00_DTINT;
U00;4;01;04;Motivo;Motivo;Motivo;U00_MOTINT;
U00;5;01;;;;;U00->U00_NUMSEQ;
SA1BLQ;1;01;RE;Filiais Bloqueio;Filiais Bloqueio;Filiais Bloqueio;;
SA1BLQ;2;01;01;;;;U_UFILBLQ();
SA1BLQ;5;01;;;;;M->A1_XFILBLQ;
X3SE1;1;01;RE;Campos SE1;Campos SE1;Campos SE1;SX5;
X3SE1;2;01;01;;;;.T.;
X3SE1;5;01;;;;;U_CPADSX3( "SE1", M->U99_CAMPO, .F. );
PDV;1;01;DB;Consulta PDV;Consulta PDV;Consulta PDV;SLG;
PDV;2;01;01;Codigo Est;Codigo Est;Station Code;;
PDV;4;01;01;Filial;Sucursal;Branch;LG_FILIAL;
PDV;4;01;02;Codigo Est;Codigo Est;Station Code;LG_CODIGO;
PDV;4;01;03;Numero PDV;Num. PDV;POS Number;LG_PDV;
PDV;5;01;;;;;SLG->LG_PDV;
U98;1;01;DB;Layout Operadora;Layout Operadora;Layout Operadora;U98;
U98;2;01;01;Operadora+cod.layout;Operadora+cod.layout;Operadora+cod.layout;;
U98;4;01;01;Operadora;Operadora;Operadora;U98_OPERAD;
U98;4;01;02;Cod. Layout;Cod. Layout;Cod. Layout;U98_CODIGO;
U98;4;01;03;Descricao;Descricao;Descricao;U98_NOME;
U98;5;01;;;;;U98->U98_CODIGO;
UB4;1;01;DB;Numeracao LMC;.;.;UB4;
UB4;2;01;01;Codigo;Codigo;Codigo;;
UB4;2;02;02;Descricao+competenci;Descricao+competenci;Descricao+competenci;;
UB4;4;01;01;Codigo;Codigo;Codigo;UB4_CODIGO;
UB4;4;01;02;Produto;Produto;Produto;UB4_PROD;
UB4;4;01;03;Descricao;Descricao;Descricao;UB4_DESCRI;
UB4;4;01;04;Numero;Numero;Numero;UB4_NUMERO;
UB4;4;01;05;Competencia;Competencia;Competencia;UB4_COMPET;
UB4;4;02;01;Codigo;Codigo;Codigo;UB4_CODIGO;
UB4;4;02;02;Produto;Produto;Produto;UB4_PROD;
UB4;4;02;03;Descricao;Descricao;Descricao;UB4_DESCRI;
UB4;4;02;04;Numero;Numero;Numero;UB4_NUMERO;
UB4;4;02;05;Competencia;Competencia;Competencia;UB4_COMPET;
UB4;5;01;;;;;UB4->UB4_NUMERO;
SC7ZE5;1;01;DB;Ped. x Amostra;Ped. x Amostra;Ped. x Amostra;SC7;
SC7ZE5;2;01;01;Numero Pc + Item + S;Nr.pedcompra + Item;Po Number + Item + S;;
SC7ZE5;4;01;01;Numero PC;Numero PC;Numero PC;C7_NUM;
SC7ZE5;4;01;02;Fornecedor;Fornecedor;Fornecedor;C7_FORNECE;
SC7ZE5;4;01;03;Loja;Loja;Loja;C7_LOJA;
SC7ZE5;4;01;04;Nr. CRC;Nr. CRC;Nr. CRC;C7_XCRC;
SC7ZE5;5;01;;;;;SC7->C7_NUM;
SC7ZE5;6;01;;;;;!EMPTY(SC7->C7_XCRC);
ZE5;1;01;DB;Consulta amostra;Consulta amostra;Consulta amostra;ZE5;
ZE5;2;01;01;Nr Crc+nr.comparime;Nr Crc+nr.comparime;Nr Crc+nr.comparime;;
ZE5;4;01;01;Nr CRC;Nr CRC;Nr CRC;ZE5_CRC;
ZE5;4;01;02;Nr.Comparime;Nr.Comparime;Nr.Comparime;ZE5_COMPAR;
ZE5;5;01;;;;;ZE5->ZE5_CRC;
ZE0;1;01;DB;Tanque Fisico;Tanque Fisico;Tanque Fisico;ZE0;
ZE0;2;01;01;Nr Tanque;Nr Tanque;Nr Tanque;;
ZE0;4;01;01;Nr Tanque;Nr Tanque;Nr Tanque;ZE0_TANQUE;
ZE0;4;01;02;Descricao;Descricao;Descricao;ZE0_DESCR;
ZE0;4;01;03;Tanque (Grp);Tanque (Grp);Tanque (Grp);ZE0_GRPTQ;
ZE0;5;01;;;;;ZE0->ZE0_TANQUE;
ZE0;6;01;;;;;.T.;
UC3;1;01;DB;Segmentos Lim. Cred.;Segmentos Lim. Cred.;Segmentos Lim. Cred.;UC3;
UC3;2;01;01;Cod.segmento;Cod.segmento;Cod.segmento;;
UC3;2;02;02;Descrição;Descrição;Descrição;;
UC3;4;01;01;Cod.Segmento;Cod.Segmento;Cod.Segmento;UC3_COD;
UC3;4;01;02;Descrição;Descrição;Descrição;UC3_DESC;
UC3;4;02;01;Cod.Segmento;Cod.Segmento;Cod.Segmento;UC3_COD;
UC3;4;02;02;Descrição;Descrição;Descrição;UC3_DESC;
UC3;5;01;;;;;UC3->UC3_COD;
